LIBELLEOPERATION,categorie_nom,CATEGORIE
PUMA MARRAKECH,Shopping,1
NIKE ONLY STORE,Shopping,1
NIKE STORE FES,Shopping,1
NIKE STORE M M,Shopping,1
NIKE STORE RABA,Shopping,1
O BRIEN   FEMME,Shopping,1
O DESTOCK,Shopping,1
OGADEN CARLY FE,Shopping,1
OKAIDI M MALL,Shopping,1
OKAIDI MARRAKEC,Shopping,1
ORCHESTRA AGADI,Shopping,1
ORCHESTRA MM,Shopping,1
ORCHESTRA RABAT,Shopping,1
ORCHESTRA RACIN,Shopping,1
OYSHO  MAARIF,Shopping,1
OYSHO RABAT,Shopping,1
PAKKA SPORT,Shopping,1
PARADOXAL,Shopping,1
PARFOIS CASA,Shopping,1
PARFOIS MARRAKE,Shopping,1
PARFUMERIE D AN,Shopping,1
PARFUMERIE FOR,Shopping,1
PARFUMERIE LAHY,Shopping,1
PARFUMERIE SECR,Shopping,1
PARLONS FRINGUE,Shopping,1
PAUL   CHARK,Shopping,1
PAY LESS M M,Shopping,1
PAYLESS AP,Shopping,1
PEDRO AP,Shopping,1
PELLE IMPORT,Shopping,1
PIEL DE TORO,Shopping,1
PIMKIE HAY RYAD,Shopping,1
PIMKIE MAARIF,Shopping,1
PIMKIE MEGA MAL,Shopping,1
PIMKIE MM CASA,Shopping,1
PLANET SPORT C,Shopping,1
PLANET SPORT KE,Shopping,1
PLANET SPORT M,Shopping,1
PORTE PAPAGAYO,Shopping,1
PRALINOR   MARS,Shopping,1
PREMAMAN MAROC,Shopping,1
PRIVATE ROOM,Shopping,1
PRO SHOP,Shopping,1
PROJEKRAW,Shopping,1
PROMOD M MALL,Shopping,1
PROSHOP,Shopping,1
PTIFILOU,Shopping,1
QUIZ  AP,Shopping,1
RALPH LAUREN M,Shopping,1
REVE D UN JOUR,Shopping,1
RIP CURL MAROC,Shopping,1
RIVE  BLEUE,Shopping,1
RIVE BLEUE,Shopping,1
S BROERS,Shopping,1
SACMAR IND  TWI,Shopping,1
SAFARI I E PLAZ,Shopping,1
SAMSONITE MEGA,Shopping,1
SANCHO,Shopping,1
SARA DESIGN,Shopping,1
SCALI MAARIF,Shopping,1
SCALI MEKNES,Shopping,1
SCALI RABAT,Shopping,1
SCALI TANGER,Shopping,1
SELEX CHAUSSURE,Shopping,1
SERGE BLANCO AP,Shopping,1
SHANA MED V,Shopping,1
SIHAM ET SANAA,Shopping,1
SINEQUANONE M M,Shopping,1
SKECHERS CALIFO,Shopping,1
SOCIETE ENCENS,Shopping,1
SOLDES PRIVEES,Shopping,1
SOUSSI CAFTAN,Shopping,1
SPORTPLUS MEDIA,Shopping,1
SPRING RABAT,Shopping,1
SPRINGFIELD CAS,Shopping,1
SPRINGFIELD CE,Shopping,1
SPRINGFIELD RAK,Shopping,1
SPRINGFIELD RBT,Shopping,1
STE INTER CLUB,Shopping,1
STE LODARE,Shopping,1
STEP IN AL MAZA,Shopping,1
STEP IN MOHAMED,Shopping,1
STRADIVARIUS AG,Shopping,1
STRADIVARIUS CA,Shopping,1
STRADIVARIUS FE,Shopping,1
STRADIVARIUS M,Shopping,1
SUD  EXPRESS  M,Shopping,1
SUPER SPORT MEK,Shopping,1
SUPER SPORT RAC,Shopping,1
SUPER SPORT SAL,Shopping,1
T  COSMETIQUES,Shopping,1
T  SHIRT CENTER,Shopping,1
TAO MM CASA,Shopping,1
TAROS BOUTIQUE,Shopping,1
TBS MENARA,Shopping,1
TEKBIR CASA,Shopping,1
TEKBIR MARRAKEC,Shopping,1
TENDANCE MEGA M,Shopping,1
TENDANCIA,Shopping,1
TEXTIBAY MOHAMM,Shopping,1
THE BEST FROU F,Shopping,1
THE SHOW ROOM,Shopping,1
TIMBERLAND HAY,Shopping,1
TIME ROAD  ASWA,Shopping,1
U S  POLO AP,Shopping,1
UNDIZ CE,Shopping,1
UNI SPORT,Shopping,1
UTERQUE MM,Shopping,1
VARIATIONS SARL,Shopping,1
VERBAUDET,Shopping,1
VIA VAI,Shopping,1
VIA VAI II,Shopping,1
VINCCI MOROCCO,Shopping,1
VISION PHOTOS,Shopping,1
VOTRE MESURE MA,Shopping,1
WOMENSECRET CAS,Shopping,1
WSK MARJANE H H,Shopping,1
YATOUT TANGER,Shopping,1
YVES ROCHER,Shopping,1
YVES ROCHER ACI,Shopping,1
YVES ROCHER SAL,Shopping,1
Z ENFANTS M M,Shopping,1
ZARA HOME M M,Shopping,1
ZIDDY AP,Shopping,1
ZINEB COSMETIQU,Shopping,1
  GALERIE,Shopping,1
 A SAMAD AL QURA,Shopping,1
 ABSORBA RP DES,Shopping,1
 ADIDAS,Shopping,1
 ADILISIK AP,Shopping,1
 AFFLELOU TAWADA,Shopping,1
 ALADDIN MARJANE,Shopping,1
 ALAIN AFFLELOU,Shopping,1
 ALAIN MANOUKIAN,Shopping,1
 ALAIN REGNER,Shopping,1
 ALDO,Shopping,1
 ALDO,Shopping,1
 ALDO ACCESSORIE,Shopping,1
 AMERICAN EAGLE,Shopping,1
 AMERICAN EAGLE ,Shopping,1
 AMERICAN EAGLES,Shopping,1
 AMERICAN FACTOR,Shopping,1
 AMTEL,Shopping,1
 ANDRE,Shopping,1
 ANDRE,Shopping,1
 ANNEES LUMIERES,Shopping,1
 ANORAK,Shopping,1
 ANTONELLE M M,Shopping,1
 APIA BLANCA,Shopping,1
 ARMANI JEANS,Shopping,1
 ARMEL,Shopping,1
 ARMEL  MAAR,Shopping,1
 AU BRILLANT RAF,Shopping,1
 AU DERBY,Shopping,1
 AU DERBY  ,Shopping,1
 AU DERBY BRAVO,Shopping,1
 AUDERBY,Shopping,1
 AVVA M M,Shopping,1
 AXE OPTICAL,Shopping,1
 BABIESMALL,Shopping,1
 BAGATT,Shopping,1
 BALZATEX,Shopping,1
 BAMBINA,Shopping,1
 BEAUTIFUL WEAR,Shopping,1
 BEAUTIFUL WEAR,Shopping,1
 BEAUTY SUCCESS,Shopping,1
 BEBE,Shopping,1
 BELBO,Shopping,1
 BELBO,Shopping,1
 BELLA FORME DIS,Shopping,1
 BELLUGA DENIM,Shopping,1
 BENETON UCB BF,Shopping,1
 BENETTON     M,Shopping,1
 BENLMOUDEN ABDE,Shopping,1
 BENSON SHOES,Shopping,1
 BERSHKA,Shopping,1
 BERSHKA MASSIRA,Shopping,1
 BERSHKA MM,Shopping,1
 BIB   BAB,Shopping,1
 BIG DEAL,Shopping,1
 BIGDIL MAZAR,Shopping,1
 BIGDIL MEGAMALL,Shopping,1
 BIJOUTIER LAHJO,Shopping,1
 BISHOPS SOLUTIO,Shopping,1
 BLACK S,Shopping,1
 BLANCO BF,Shopping,1
 BLANCO M MALL,Shopping,1
 BLEND,Shopping,1
 BOSSINI,Shopping,1
 BOSSINI MEGA MA,Shopping,1
 BOTTEGA DEI SAP,Shopping,1
 BOUTIQUE,Shopping,1
 BOUTIQUE,Shopping,1
 BOUTIQUE L ECHE,Shopping,1
 BOUTIQUE MANGA,Shopping,1
 BOUTIQUE MOPE,Shopping,1
 BRICE,Shopping,1
 BRINS D ORIENT,Shopping,1
 BROKY  SHOES  M,Shopping,1
 BROKY CHAUSSURE,Shopping,1
 BROKY SHOES,Shopping,1
 CAMAIEU,Shopping,1
 CARAMELO,Shopping,1
 CAROLL MEGA MAL,Shopping,1
 CATERPILLAR,Shopping,1
 CATERPILLAR  CA,Shopping,1
 CATIMINI,Shopping,1
 CATTERPILLAR MA,Shopping,1
 CAVA PUROS M M,Shopping,1
 CCDA BTIQUE BOU,Shopping,1
 CELINI,Shopping,1
 CELIO,Shopping,1
 CELIO,Shopping,1
 CELIO M M ,Shopping,1
 CELIO MARJANE,Shopping,1
 CENTRE COMMERCI,Shopping,1
 CENTRE D ACTIVI,Shopping,1
 CENTURY SHOES,Shopping,1
 CHAHD DREAM,Shopping,1
 CHAUSSURES AU D,Shopping,1
 CHAYMAE DEKOSY ,Shopping,1
 CHEMIN DE TABLE,Shopping,1
 CHEZ MA,Shopping,1
 CHRISTIAN DIOR,Shopping,1
 CHRONOSOLDE HAY,Shopping,1
 CINTI MM,Shopping,1
 CLARKS AP,Shopping,1
 COCO BEAUTY M M,Shopping,1
 COIN DE CHINE,Shopping,1
 CONFORT PLUS,Shopping,1
 CORTE PIEL MRJ,Shopping,1
 CORTEFIEL,Shopping,1
 COSMOBIO,Shopping,1
 COSTCUTTER MORO,Shopping,1
 COTA SOLDE,Shopping,1
 CTF M M,Shopping,1
 D V H,Shopping,1
 DADES MARKET,Shopping,1
 DAMAT TWEEN,Shopping,1
 DASNAVINA,Shopping,1
 DASNAVINA MASSI,Shopping,1
 DDA BOUTIQUE TA,Shopping,1
 DECATHLON,Shopping,1
 DECATHLON,Shopping,1
 DECATHLON EASY,Shopping,1
 DEVRED MAARIF,Shopping,1
 DIALY ECOM,Shopping,1
 DIAMANTINE,Shopping,1
 DIAMANTINE,Shopping,1
 DIAMANTINE MEGA,Shopping,1
 DIM  MEGAM,Shopping,1
 DIM BLANCA,Shopping,1
 DIM CE,Shopping,1
 DIM MAARIF,Shopping,1
 DIM MM,Shopping,1
 DIRK BIKKEMBERG,Shopping,1
 DISTRIACCESSOIR,Shopping,1
 DISTRICT,Shopping,1
 DPAM,Shopping,1
 DPAM  MALL,Shopping,1
 DPAM MAARIF ,Shopping,1
 DPAM MM,Shopping,1
 DVH,Shopping,1
 DVH  MEGAMALL,Shopping,1
 DVH  MEGAMALL,Shopping,1
 DYAMANDA,Shopping,1
 EFFERVESCENCE,Shopping,1
 EL MOHAJIRI,Shopping,1
 ELEGANCE,Shopping,1
 ELITE SHOES,Shopping,1
 ELLE PARIS,Shopping,1
 ELLITE CE,Shopping,1
 EMPREINTE BY RE,Shopping,1
 ERAM BF,Shopping,1
 ERAM RAK,Shopping,1
 ERRAYEM,Shopping,1
 ETAM,Shopping,1
 ETAM LING,Shopping,1
 ETAM LINGERIE,Shopping,1
 ETAM PLAZA MARR ,Shopping,1
 EVA MAZAR STE N,Shopping,1
 EXCELLENCE,Shopping,1
 EXCELLENCE MM,Shopping,1
 EXCELLENCE RIVE,Shopping,1
 F CO AL MAZAR,Shopping,1
 F L P MAROC ,Shopping,1
 F R M T  ECOM,Shopping,1
 FASHION LEATHER,Shopping,1
 FENDI M M,Shopping,1
 FENYADI,Shopping,1
 FG  ET KIDS AP,Shopping,1
 FG  WOMEN AP,Shopping,1
 FINSBURY,Shopping,1
 FIRST TIME,Shopping,1
 FLOU,Shopping,1
 GALERIE AL ASSA ,Shopping,1
 GANT CE,Shopping,1
 GAP,Shopping,1
 GAZAL,Shopping,1
 GEMO,Shopping,1
 GENIOUS COM ECO,Shopping,1
 GEOX,Shopping,1
 GIOSEPPO,Shopping,1
 GLORIA PARFUMER,Shopping,1
 GO SPORT AP ,Shopping,1
 GROUPON ECOM,Shopping,1
 GUCCI M M,Shopping,1
 GUESS,Shopping,1
 GUESS RACINE,Shopping,1
 H ET M CE,Shopping,1
 H ET M M M,Shopping,1
 H ET M M M,Shopping,1
 H M KIDS AP,Shopping,1
 H M KIDS AP ,Shopping,1
 H M WOMEN AP,Shopping,1
 H M WOMEN AP ,Shopping,1
 HAMZA BOUTIQUE,Shopping,1
 HAYANI GUELIZ,Shopping,1
 HERITAGE BERBER ,Shopping,1
 HIPPOMALL M M,Shopping,1
 HIPPOPOTAMUS,Shopping,1
 HMALL ECOM,Shopping,1
 HMIZATE ECOM,Shopping,1
 HOBBY CENTER ZE,Shopping,1
 HUGO BOSS,Shopping,1
 HUGO BOSS ANFA,Shopping,1
 HUNKE MOLLER BF,Shopping,1
 HUNKEMOLLER CE,Shopping,1
 I S L A,Shopping,1
 I WATCH AP,Shopping,1
 INFINIMENT BELL,Shopping,1
 INOUCHKA,Shopping,1
 INTERSPORT,Shopping,1
 IO CHAUSSURES,Shopping,1
 ITALIA UNO,Shopping,1
 JAOUHARAT SARA,Shopping,1
 JAWHARA SARA,Shopping,1
 JEAN LOUIS DAVI,Shopping,1
 JEFF DE BRUGES,Shopping,1
 JENAVI,Shopping,1
 JENNYFER AL MAZ,Shopping,1
 JENNYFER M M,Shopping,1
 JOUPI,Shopping,1
 JULES,Shopping,1
 JULES,Shopping,1
 JUMIA ECOM,Shopping,1
 JUMIA ECOM,Shopping,1
 JUST   KID S MA,Shopping,1
 JUST FOR U,Shopping,1
 K ROUGES SARL,Shopping,1
 K SHOP,Shopping,1
 K SHOP D LABEL,Shopping,1
 KAHI,Shopping,1
 KAMOMIE,Shopping,1
 KAMOMIE III,Shopping,1
 KAREN MELLEN M,Shopping,1
 KATJA DIOR,Shopping,1
 KEITO,Shopping,1
 KEYZA  II,Shopping,1
 KIABI,Shopping,1
 KIABI,Shopping,1
 KIABI,Shopping,1
 KIABI ALMAZAR ,Shopping,1
 KID S VILLAGE M,Shopping,1
 KIM MON SA,Shopping,1
 KTLC,Shopping,1
 KTLC AP,Shopping,1
 KTLC M M ,Shopping,1
 KUM   KUM,Shopping,1
 L AEROPOSTALE,Shopping,1
 L ARTOTHEQUE,Shopping,1
 LA  GRANDE  REC,Shopping,1
 LA BOUTIQUE,Shopping,1
 LA FABRIQUE,Shopping,1
 LA FABRIQUE,Shopping,1
 LA FONDA  ANFA,Shopping,1
 LA GOYAVE,Shopping,1
 LA GRANDE RECRE,Shopping,1
 LA MAISON DE BL,Shopping,1
 LA MARTINA,Shopping,1
 LA MENORA  SARL,Shopping,1
 LA PERLA,Shopping,1
 LACOSTE CE,Shopping,1
 LAIKA SA  PARSO,Shopping,1
 LAS CHICAS,Shopping,1
 LATIUM RESTAURA,Shopping,1
 LAYALI BAHIA,Shopping,1
 LC KEITO TARGA,Shopping,1
 LC WAIKIKI,Shopping,1
 LC WAIKIKI C  C ,Shopping,1
 LE   MAROQUIN,Shopping,1
 LE CERCLE FEMIN,Shopping,1
 LE MAROQUIN ART,Shopping,1
 LE MAROQUIN MRJ,Shopping,1
 LEE  COOPER,Shopping,1
 LEE COOPER,Shopping,1
 LEE COOPER M M ,Shopping,1
 LES MAGASINS SO,Shopping,1
 LITTLE ITALIE,Shopping,1
 LITTLE ITALY,Shopping,1
 LIU JO M M,Shopping,1
 LIVREMOI MA ECO,Shopping,1
 LOBI,Shopping,1
 LONGCHAMP,Shopping,1
 LONGCHAMP,Shopping,1
 LOUIS VUITON,Shopping,1
 LUCIE SAINT CLA,Shopping,1
 LUIGI,Shopping,1
 LVCM,Shopping,1
 LVCM A TAOUJTAT,Shopping,1
 M  SEFRAOUI MOU,Shopping,1
 MAAZOZ SAID,Shopping,1
 MAC M M,Shopping,1
 MACROBURO,Shopping,1
 MAESTRO,Shopping,1
 MAG  MEGASTORE,Shopping,1
 MAHATTAT AL AFA,Shopping,1
 MAIDA,Shopping,1
 MAISON MENAGERE,Shopping,1
 MAJE   SOCAMAJE,Shopping,1
 MAMA HOME,Shopping,1
 MANGO,Shopping,1
 MANGO CASA,Shopping,1
 MANIPOSA LINGER,Shopping,1
 MAO MODE,Shopping,1
 MARIONNAUD,Shopping,1
 MARQUIS D ORIEN,Shopping,1
 MARWA,Shopping,1
 MASKAT,Shopping,1
 MASSIMO ROSSI,Shopping,1
 MASSIMU DUTTI,Shopping,1
 MASSIMU DUTTI,Shopping,1
 MATSURI,Shopping,1
 MAVIE,Shopping,1
 MAX DOUJA,Shopping,1
 MAXI TOYS,Shopping,1
 MAYA SHOES,Shopping,1
 MAYORAL ,Shopping,1
 MAYORAL CE,Shopping,1
 MB JOAILLIER M,Shopping,1
 MEC CARLY,Shopping,1
 MEGA MALL,Shopping,1
 MEGA MODE,Shopping,1
 MEK STORE,Shopping,1
 MILK AND ROCK,Shopping,1
 MIMID SHOES,Shopping,1
 MINELLI MEGA MA,Shopping,1
 MIRO HOME,Shopping,1
 MIRO HOME,Shopping,1
 MISS PARIS,Shopping,1
 MM,Shopping,1
 MOB SHOP GUELIZ,Shopping,1
 MODA ITALIANA,Shopping,1
 MOHAJIR,Shopping,1
 MONSIEUR BROCHE,Shopping,1
 MOTHER CARE I A,Shopping,1
 MOTHER CARE I A,Shopping,1
 MOTHER CARE M M,Shopping,1
 MOTIVO,Shopping,1
 MOVITEX   MAARI,Shopping,1
 MOXE,Shopping,1
 MOXE,Shopping,1
 MOXE M M,Shopping,1
 MOXE P  MY ABDA ,Shopping,1
 MTDS ECOM,Shopping,1
 MY WAY,Shopping,1
 NAJNAIS,Shopping,1
 NATURALI S M M,Shopping,1
 NATURELLE D ARG,Shopping,1
 NESENS M M,Shopping,1
 NEW LOOK SHOP,Shopping,1
 NEW YORKER AP,Shopping,1
 NEXT AP,Shopping,1
 NEXT PEOPLE MEG,Shopping,1
 NFS MOHAMEDIA,Shopping,1
 NIKE ONLY STORE,Shopping,1
 NIKE STORE,Shopping,1
 NUMBER ONE BY,Shopping,1
 O BRIEN   FEMME,Shopping,1
 OGADEN CARLY FE,Shopping,1
 OGADEN CARLY GU,Shopping,1
 OKAIDI,Shopping,1
 OMPIC  ECOM,Shopping,1
 ONE BEAUTY,Shopping,1
 ORCESTRA,Shopping,1
 ORCESTRA AP,Shopping,1
 ORCHESTRA,Shopping,1
 ORIMONO,Shopping,1
 OYSHO,Shopping,1
 PAKKA SPORT,Shopping,1
 PANDA TOYS,Shopping,1
 PARALAND,Shopping,1
 PARF SECR BEAU,Shopping,1
 PARFOIS,Shopping,1
 PARFUMERIE,Shopping,1
 PARFUMS DE FRAN,Shopping,1
 PARIS BEAUTY SH,Shopping,1
 PARLONS FRINGUE,Shopping,1
 PASSADENA,Shopping,1
 PAY LESS M M,Shopping,1
 PAYLESS AP,Shopping,1
 PEDRO AP,Shopping,1
 PERFECT GALAXY,Shopping,1
 PETALES ET CIE,Shopping,1
 PIEL DE TORO,Shopping,1
 PIMKIE,Shopping,1
 PLANET SPORT,Shopping,1
 PLANET SPORT,Shopping,1
 PLANET SPORT,Shopping,1
 PLANET SPORT CA ,Shopping,1
 PRADA MAN,Shopping,1
 PREMAMAN MAROC,Shopping,1
 PRESSING LE LOU,Shopping,1
 PRETTY LINGE,Shopping,1
 PRIVATE ROOM,Shopping,1
 PRO SHOP,Shopping,1
 PROJEKRAW,Shopping,1
 PROMOD,Shopping,1
 PROMOD  RABAT ,Shopping,1
 PROMOD MARRAKEC,Shopping,1
 PROMODEL,Shopping,1
 PROMODEL  MARRA,Shopping,1
 PROSHOP,Shopping,1
 PTIFILOU,Shopping,1
 PULL ET BEAR,Shopping,1
 PULL ET BEAR,Shopping,1
